Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right
0.0000,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0015,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0028,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0042,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0056,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0070,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0084,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0099,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0113,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0127,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0141,0.0245,0.0000,0.0000,0.0000,220.0,220.0
0.0155,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0169,0.0243,0.0000,0.0001,0.0000,220.0,220.0
0.0184,0.0244,0.0000,0.0001,0.0000,220.0,220.0
0.0197,0.0249,0.0000,0.0001,0.0000,220.0,220.0
0.0211,0.0000,0.0000,0.0001,0.0000,220.0,220.0
0.0224,0.0523,0.0262,0.0002,0.0000,220.0,220.0
0.0238,0.0259,0.0259,0.0002,0.0001,220.0,220.0
0.0252,0.0247,0.0247,0.0003,0.0001,220.0,220.0
0.0265,0.0250,0.0250,0.0003,0.0001,220.0,220.0
0.0278,0.0529,0.0265,0.0004,0.0002,220.0,220.0
0.0292,0.0257,0.0257,0.0004,0.0002,220.0,220.0
0.0308,0.0418,0.0209,0.0005,0.0002,220.0,220.0
0.0325,0.0413,0.0413,0.0006,0.0003,220.0,220.0
0.0341,0.0446,0.0446,0.0006,0.0004,220.0,220.0
0.0354,0.0500,0.0250,0.0007,0.0004,220.0,220.0
0.0371,0.0212,0.0424,0.0007,0.0005,220.0,220.0
0.0386,0.0662,0.0221,0.0008,0.0005,220.0,220.0
0.0401,0.0242,0.0483,0.0009,0.0006,220.0,220.0
0.0419,0.0550,0.0367,0.0010,0.0007,220.0,220.0
0.0437,0.0400,0.0400,0.0010,0.0007,220.0,220.0
0.0451,0.0710,0.0473,0.0011,0.0008,220.0,220.0
0.0468,0.0419,0.0419,0.0012,0.0009,220.0,220.0
0.0482,0.0478,0.0478,0.0013,0.0009,220.0,220.0
0.0496,0.0743,0.0495,0.0014,0.0010,220.0,220.0
0.0511,0.0478,0.0478,0.0014,0.0011,220.0,220.0
0.0524,0.0522,0.0522,0.0015,0.0011,220.0,220.0
0.0541,0.0787,0.0590,0.0017,0.0012,220.0,220.0
0.0556,0.0716,0.0478,0.0018,0.0013,220.0,220.0
0.0571,0.0687,0.0687,0.0019,0.0014,220.0,220.0
0.0584,0.0512,0.0768,0.0019,0.0015,220.0,220.0
0.0599,0.0708,0.0472,0.0020,0.0016,220.0,220.0
0.0615,0.0840,0.0630,0.0022,0.0017,220.0,220.0
0.0629,0.0781,0.0781,0.0023,0.0018,220.0,220.0
0.0642,0.0770,0.0770,0.0024,0.0019,220.0,220.0
0.0660,0.0937,0.0749,0.0026,0.0020,220.0,220.0
0.0677,0.0851,0.0851,0.0027,0.0022,220.0,220.0
0.0691,0.0716,0.0955,0.0028,0.0023,220.0,220.0
0.0705,0.1034,0.0775,0.0029,0.0024,220.0,220.0
0.0723,0.0929,0.0929,0.0031,0.0026,220.0,220.0
0.0739,0.1090,0.1090,0.0033,0.0028,220.0,220.0
0.0753,0.0949,0.0949,0.0034,0.0029,220.0,220.0
0.0767,0.1015,0.1015,0.0036,0.0030,220.0,220.0
0.0785,0.1177,0.0981,0.0038,0.0032,220.0,220.0
0.0800,0.1093,0.1093,0.0039,0.0034,220.0,220.0
0.0817,0.1036,0.1243,0.0041,0.0036,220.0,220.0
0.0831,0.1220,0.1220,0.0043,0.0038,220.0,220.0
0.0845,0.1230,0.0984,0.0045,0.0039,220.0,220.0
0.0860,0.1202,0.1202,0.0046,0.0041,220.0,220.0
0.0873,0.1279,0.1279,0.0048,0.0042,220.0,220.0
0.0887,0.1274,0.1274,0.0050,0.0044,220.0,220.0
0.0901,0.1231,0.1231,0.0051,0.0046,220.0,220.0
0.0915,0.1226,0.1226,0.0053,0.0048,220.0,220.0
0.0928,0.1322,0.1058,0.0055,0.0049,220.0,220.0
0.0941,0.1023,0.1278,0.0056,0.0051,220.0,220.0
0.0955,0.1478,0.1231,0.0058,0.0052,220.0,220.0
0.0969,0.1004,0.1506,0.0060,0.0055,220.0,220.0
0.0983,0.1545,0.1287,0.0062,0.0056,220.0,220.0
0.0997,0.1204,0.1204,0.0064,0.0058,220.0,220.0
0.1011,0.1196,0.1435,0.0065,0.0060,220.0,220.0
0.1025,0.1230,0.1230,0.0067,0.0062,220.0,220.0
0.1039,0.1253,0.1253,0.0069,0.0064,220.0,220.0
0.1052,0.1308,0.1570,0.0070,0.0066,220.0,220.0
0.1066,0.1280,0.1535,0.0072,0.0068,220.0,220.0
0.1080,0.1480,0.1234,0.0074,0.0069,220.0,220.0
0.1093,0.1267,0.1521,0.0076,0.0071,220.0,220.0
0.1107,0.1304,0.1826,0.0078,0.0074,220.0,220.0
0.1120,0.1282,0.1538,0.0079,0.0076,220.0,220.0
0.1134,0.1487,0.1487,0.0081,0.0078,220.0,220.0
0.1148,0.1255,0.1506,0.0083,0.0080,220.0,220.0
0.1161,0.1526,0.1780,0.0085,0.0082,220.0,220.0
0.1175,0.1221,0.1954,0.0087,0.0085,220.0,220.0
0.1190,0.1468,0.1468,0.0089,0.0087,220.0,220.0
0.1203,0.1303,0.1824,0.0091,0.0090,220.0,220.0
0.1216,0.1564,0.1564,0.0093,0.0092,220.0,220.0
0.1230,0.1436,0.1915,0.0095,0.0095,220.0,220.0
0.1245,0.1460,0.1946,0.0097,0.0097,220.0,220.0
0.1258,0.1527,0.2036,0.0099,0.0100,220.0,220.0
0.1271,0.1569,0.1830,0.0101,0.0103,220.0,220.0
0.1284,0.1584,0.2112,0.0103,0.0105,220.0,220.0
0.1299,0.1433,0.1911,0.0105,0.0108,220.0,220.0
0.1313,0.1691,0.1932,0.0108,0.0111,220.0,220.0
0.1327,0.1458,0.2187,0.0110,0.0114,220.0,220.0
0.1341,0.1495,0.1993,0.0112,0.0117,220.0,220.0
0.1355,0.1732,0.2227,0.0114,0.0120,220.0,220.0
0.1369,0.1479,0.2219,0.0116,0.0123,220.0,220.0
0.1383,0.1745,0.1994,0.0119,0.0126,220.0,220.0
0.1397,0.1463,0.2194,0.0121,0.0129,220.0,220.0
0.1411,0.1714,0.2449,0.0123,0.0132,220.0,220.0
0.1426,0.1672,0.2150,0.0126,0.0135,220.0,220.0
0.1440,0.1488,0.2232,0.0128,0.0138,220.0,220.0
0.1453,0.1572,0.2359,0.0130,0.0142,220.0,220.0
0.1466,0.1800,0.2314,0.0132,0.0145,220.0,220.0
0.1481,0.1674,0.2392,0.0135,0.0148,220.0,220.0
0.1495,0.1473,0.2209,0.0137,0.0151,220.0,220.0
0.1508,0.1565,0.2348,0.0139,0.0154,220.0,220.0
0.1521,0.1797,0.2567,0.0141,0.0158,220.0,220.0
0.1536,0.1680,0.2400,0.0144,0.0161,220.0,220.0
0.1550,0.1735,0.2479,0.0146,0.0165,220.0,220.0
0.1563,0.1552,0.2329,0.0148,0.0168,220.0,220.0
0.1577,0.1797,0.2567,0.0150,0.0171,220.0,220.0
0.1591,0.1473,0.2700,0.0153,0.0175,220.0,219.0
0.1604,0.1989,0.2487,0.0155,0.0178,220.0,220.0
0.1618,0.1518,0.2530,0.0157,0.0182,220.0,220.0
0.1632,0.1802,0.2575,0.0160,0.0185,220.0,220.0
0.1646,0.1684,0.2888,0.0162,0.0189,220.0,207.0
0.1660,0.1895,0.2605,0.0165,0.0193,220.0,220.0
0.1674,0.1766,0.3027,0.0167,0.0197,220.0,197.4
0.1689,0.1634,0.2568,0.0170,0.0201,220.0,220.0
0.1703,0.1903,0.2854,0.0173,0.0205,220.0,211.3
0.1717,0.1735,0.2726,0.0175,0.0209,220.0,220.0
0.1730,0.1834,0.2883,0.0177,0.0213,220.0,210.1
0.1744,0.1800,0.2828,0.0180,0.0217,220.0,214.5
0.1758,0.1962,0.2943,0.0183,0.0221,220.0,206.3
0.1772,0.2017,0.3025,0.0185,0.0225,220.0,200.5
0.1785,0.1821,0.2861,0.0188,0.0229,220.0,213.2
0.1798,0.2070,0.3105,0.0191,0.0233,220.0,195.3
0.1812,0.1971,0.2957,0.0193,0.0237,220.0,206.8
0.1826,0.1763,0.2770,0.0196,0.0241,220.0,220.0
0.1839,0.1817,0.3115,0.0198,0.0245,220.0,195.6
0.1853,0.2065,0.3098,0.0201,0.0249,220.0,197.3
0.1867,0.1966,0.3194,0.0204,0.0254,220.0,190.4
0.1881,0.1987,0.2981,0.0206,0.0258,220.0,206.7
0.1894,0.1852,0.3439,0.0209,0.0262,220.0,172.6
0.1908,0.2178,0.3145,0.0212,0.0267,220.0,194.9
0.1923,0.2110,0.3282,0.0215,0.0272,220.0,184.9
0.1936,0.1794,0.3333,0.0217,0.0276,220.0,181.4
0.1949,0.2091,0.3137,0.0220,0.0280,220.0,196.4
0.1963,0.2266,0.3274,0.0223,0.0285,220.0,186.4
0.1977,0.2152,0.3348,0.0226,0.0290,220.0,181.1
0.1991,0.1979,0.3216,0.0229,0.0294,220.0,191.2
0.2005,0.2069,0.3362,0.0232,0.0299,220.0,180.5
0.2018,0.2279,0.3292,0.0235,0.0303,220.0,186.0
0.2033,0.1919,0.3359,0.0238,0.0308,220.0,181.3
0.2047,0.2215,0.3200,0.0241,0.0312,220.0,193.4
0.2060,0.1789,0.3322,0.0243,0.0317,220.0,184.5
0.2074,0.2027,0.3801,0.0246,0.0322,220.0,148.8
0.2088,0.2163,0.3124,0.0249,0.0327,220.0,199.8
0.2102,0.2010,0.3266,0.0252,0.0331,220.0,189.4
0.2116,0.2200,0.3422,0.0255,0.0336,220.0,178.0
0.2130,0.1925,0.3368,0.0258,0.0341,220.0,182.2
0.2145,0.2154,0.3590,0.0261,0.0346,220.0,165.7
0.2159,0.2256,0.3259,0.0264,0.0350,220.0,190.8
0.2172,0.2309,0.3592,0.0267,0.0355,220.0,166.0
0.2186,0.2209,0.3437,0.0270,0.0360,220.0,177.9
0.2200,0.2215,0.3446,0.0273,0.0365,220.0,177.4
0.2213,0.2343,0.3644,0.0276,0.0370,220.0,162.6
0.2227,0.2099,0.3936,0.0279,0.0375,220.0,140.8
0.2240,0.2277,0.3795,0.0282,0.0380,220.0,151.5
0.2254,0.2442,0.3662,0.0286,0.0385,220.0,161.5
0.2268,0.2223,0.3705,0.0289,0.0390,220.0,158.4
0.2282,0.2341,0.3641,0.0292,0.0395,220.0,163.3
0.2295,0.2542,0.3558,0.0295,0.0400,220.0,169.7
0.2312,0.2294,0.3754,0.0299,0.0406,220.0,155.2
0.2326,0.2221,0.3949,0.0302,0.0412,220.0,140.6
0.2339,0.2344,0.3646,0.0305,0.0417,220.0,163.3
0.2353,0.2545,0.4072,0.0309,0.0422,220.0,131.4
0.2367,0.2344,0.3751,0.0312,0.0428,220.0,155.6
0.2382,0.2648,0.3852,0.0316,0.0433,215.5,148.1
0.2395,0.2317,0.3605,0.0319,0.0438,220.0,166.7
0.2415,0.2736,0.3932,0.0325,0.0446,210.4,142.2
0.2430,0.2545,0.3933,0.0329,0.0452,220.0,142.2
0.2445,0.2586,0.3761,0.0332,0.0457,220.0,155.2
0.2459,0.2423,0.4120,0.0336,0.0463,220.0,128.3
0.2474,0.2599,0.4016,0.0340,0.0469,220.0,136.0
0.2487,0.2547,0.4076,0.0343,0.0475,220.0,131.5
