Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right
0.0000,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0018,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0034,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0050,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0067,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0083,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0100,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0117,0.0205,0.0000,0.0000,0.0000,220.0,220.0
0.0134,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0150,0.0216,0.0000,0.0001,0.0000,220.0,220.0
0.0166,0.0212,0.0000,0.0001,0.0000,220.0,220.0
0.0183,0.0198,0.0000,0.0001,0.0000,220.0,220.0
0.0200,0.0207,0.0000,0.0002,0.0000,220.0,220.0
0.0216,0.0211,0.0000,0.0002,0.0000,220.0,220.0
0.0232,0.0214,0.0000,0.0002,0.0000,220.0,220.0
0.0249,0.0423,0.0423,0.0003,0.0001,220.0,220.0
0.0264,0.0220,0.0220,0.0003,0.0001,220.0,220.0
0.0280,0.0443,0.0222,0.0004,0.0001,220.0,220.0
0.0297,0.0207,0.0207,0.0004,0.0002,220.0,220.0
0.0313,0.0423,0.0212,0.0005,0.0002,220.0,220.0
0.0328,0.0453,0.0226,0.0006,0.0002,220.0,220.0
0.0344,0.0218,0.0218,0.0006,0.0003,220.0,220.0
0.0360,0.0422,0.0422,0.0007,0.0003,220.0,220.0
0.0377,0.0421,0.0210,0.0008,0.0004,220.0,220.0
0.0392,0.0440,0.0440,0.0008,0.0004,220.0,220.0
0.0408,0.0433,0.0433,0.0009,0.0005,220.0,220.0
0.0425,0.0210,0.0210,0.0009,0.0006,220.0,220.0
0.0441,0.0660,0.0440,0.0010,0.0006,220.0,220.0
0.0457,0.0433,0.0433,0.0011,0.0007,220.0,220.0
0.0472,0.0435,0.0435,0.0012,0.0008,220.0,220.0
0.0489,0.0423,0.0423,0.0012,0.0008,220.0,220.0
0.0505,0.0436,0.0654,0.0013,0.0009,220.0,220.0
0.0521,0.0622,0.0414,0.0014,0.0010,220.0,220.0
0.0538,0.0418,0.0628,0.0015,0.0011,220.0,220.0
0.0554,0.0643,0.0643,0.0016,0.0012,220.0,220.0
0.0570,0.0436,0.0655,0.0017,0.0013,220.0,220.0
0.0586,0.0622,0.0622,0.0018,0.0014,220.0,220.0
0.0603,0.0607,0.0607,0.0019,0.0015,220.0,220.0
0.0620,0.0628,0.0628,0.0020,0.0016,220.0,220.0
0.0636,0.0629,0.0839,0.0021,0.0018,220.0,220.0
0.0653,0.0824,0.0618,0.0022,0.0019,220.0,220.0
0.0670,0.0829,0.1036,0.0023,0.0020,220.0,220.0
0.0686,0.0840,0.0840,0.0025,0.0022,220.0,220.0
0.0702,0.0647,0.0863,0.0026,0.0023,220.0,220.0
0.0719,0.1050,0.1050,0.0028,0.0025,220.0,220.0
0.0735,0.0832,0.0832,0.0029,0.0026,220.0,220.0
0.0751,0.0864,0.0864,0.0030,0.0028,220.0,220.0
0.0767,0.0882,0.1103,0.0032,0.0029,220.0,220.0
0.0783,0.1036,0.1036,0.0033,0.0031,220.0,220.0
0.0800,0.1064,0.0851,0.0035,0.0032,220.0,220.0
0.0816,0.1079,0.1079,0.0037,0.0034,220.0,220.0
0.0832,0.1087,0.1087,0.0039,0.0036,220.0,220.0
0.0848,0.1049,0.1049,0.0040,0.0038,220.0,220.0
0.0864,0.1048,0.1258,0.0042,0.0040,220.0,220.0
0.0881,0.1032,0.1032,0.0044,0.0041,220.0,220.0
0.0898,0.1034,0.1034,0.0046,0.0043,220.0,220.0
0.0913,0.1351,0.1126,0.0048,0.0045,220.0,220.0
0.0929,0.1107,0.1107,0.0049,0.0047,220.0,220.0
0.0945,0.1083,0.1299,0.0051,0.0049,220.0,220.0
0.0961,0.1309,0.1091,0.0053,0.0050,220.0,220.0
0.0977,0.1058,0.1270,0.0055,0.0052,220.0,220.0
0.0993,0.1322,0.1102,0.0057,0.0054,220.0,220.0
0.1009,0.1250,0.1250,0.0059,0.0056,220.0,220.0
0.1025,0.1475,0.1265,0.0061,0.0058,220.0,220.0
0.1041,0.1129,0.1355,0.0063,0.0060,220.0,220.0
0.1057,0.1516,0.1516,0.0066,0.0063,220.0,220.0
0.1073,0.1251,0.1251,0.0068,0.0065,220.0,220.0
0.1089,0.1302,0.1519,0.0070,0.0067,220.0,220.0
0.1106,0.1460,0.1460,0.0072,0.0070,220.0,220.0
0.1123,0.1198,0.1397,0.0074,0.0072,220.0,220.0
0.1140,0.1448,0.1448,0.0077,0.0075,220.0,220.0
0.1156,0.1508,0.1723,0.0079,0.0077,220.0,220.0
0.1172,0.1260,0.1469,0.0081,0.0080,220.0,220.0
0.1188,0.1517,0.1733,0.0084,0.0082,220.0,220.0
0.1204,0.1487,0.1487,0.0086,0.0085,220.0,220.0
0.1221,0.1473,0.1684,0.0088,0.0088,220.0,220.0
0.1237,0.1477,0.1898,0.0091,0.0091,220.0,220.0
0.1253,0.1528,0.1746,0.0093,0.0094,220.0,220.0
0.1268,0.1608,0.1838,0.0096,0.0096,220.0,220.0
0.1284,0.1769,0.1990,0.0098,0.0099,220.0,220.0
0.1300,0.1679,0.1889,0.0101,0.0103,220.0,220.0
0.1323,0.1661,0.1963,0.0105,0.0107,220.0,220.0
0.1340,0.1792,0.1792,0.0108,0.0110,220.0,220.0
0.1357,0.1655,0.1862,0.0111,0.0113,220.0,220.0
0.1374,0.1843,0.1843,0.0114,0.0116,220.0,220.0
0.1390,0.1658,0.2073,0.0117,0.0120,220.0,220.0
0.1408,0.1761,0.1957,0.0120,0.0123,220.0,220.0
0.1425,0.1805,0.2206,0.0123,0.0127,220.0,220.0
0.1443,0.1775,0.1972,0.0126,0.0130,220.0,220.0
0.1459,0.1667,0.2084,0.0129,0.0134,220.0,220.0
0.1477,0.1903,0.2093,0.0132,0.0138,220.0,220.0
0.1495,0.1978,0.1978,0.0136,0.0141,220.0,220.0
