Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0105,0.0000,0.0000,0.0000,0.0000
0.0209,0.0033,0.0066,0.0000,0.0001
0.0313,0.0099,0.0099,0.0001,0.0002
0.0420,0.0227,0.0195,0.0004,0.0004
0.0524,0.0365,0.0265,0.0008,0.0007
0.0630,0.0519,0.0390,0.0013,0.0011
0.0737,0.0616,0.0616,0.0020,0.0017
0.0842,0.0751,0.0718,0.0028,0.0025
0.0949,0.0780,0.0813,0.0036,0.0033
0.1054,0.0850,0.0948,0.0045,0.0043
0.1161,0.0903,0.1032,0.0055,0.0055
0.1268,0.1070,0.1103,0.0066,0.0066
0.1373,0.1175,0.1208,0.0078,0.0079
0.1479,0.1241,0.1241,0.0091,0.0092
0.1585,0.1272,0.1370,0.0105,0.0107
0.1691,0.1428,0.1460,0.0120,0.0122
0.1797,0.1502,0.1469,0.0136,0.0138
0.1903,0.1567,0.1600,0.0153,0.0155
0.2007,0.1688,0.1655,0.0170,0.0172
0.2111,0.1690,0.1657,0.0188,0.0189
0.2215,0.1786,0.1786,0.0206,0.0208
0.2320,0.1885,0.1819,0.0226,0.0227
0.2424,0.1953,0.1886,0.0246,0.0246
0.2528,0.2018,0.1952,0.0267,0.0267
0.2633,0.2053,0.2020,0.0289,0.0288
0.2737,0.2122,0.2055,0.0311,0.0309
0.2841,0.2184,0.2217,0.0334,0.0332
0.2948,0.2288,0.2159,0.0358,0.0356
0.3052,0.2286,0.2220,0.0382,0.0379
0.3156,0.2351,0.2285,0.0407,0.0402
0.3261,0.2448,0.2283,0.0432,0.0426
0.3365,0.2412,0.2280,0.0457,0.0450
0.3470,0.2479,0.2347,0.0483,0.0475
0.3574,0.2547,0.2382,0.0510,0.0499
0.3678,0.2590,0.2458,0.0537,0.0525
0.3784,0.2725,0.2498,0.0566,0.0552
0.3889,0.2678,0.2447,0.0594,0.0577
0.3993,0.2815,0.2451,0.0623,0.0603
0.4097,0.2748,0.2516,0.0652,0.0629
0.4201,0.2785,0.2586,0.0681,0.0656
0.4306,0.2863,0.2632,0.0711,0.0683
0.4410,0.2885,0.2719,0.0741,0.0712
0.4514,0.2915,0.2749,0.0771,0.0740
0.4621,0.2941,0.2747,0.0802,0.0770
0.4726,0.2977,0.2811,0.0834,0.0799
0.4830,0.2947,0.2881,0.0864,0.0829
0.4934,0.2977,0.2911,0.0895,0.0859
0.5038,0.3046,0.2913,0.0927,0.0890
0.5143,0.3013,0.2947,0.0958,0.0921
0.5247,0.3044,0.2978,0.0990,0.0952
0.5353,0.3060,0.3027,0.1023,0.0984
0.5457,0.3054,0.3121,0.1054,0.1016
0.5563,0.3191,0.3191,0.1088,0.1050
0.5672,0.3020,0.2956,0.1121,0.1082
0.5777,0.3137,0.3137,0.1154,0.1115
0.5883,0.3054,0.3119,0.1187,0.1148
0.5990,0.2992,0.3220,0.1218,0.1182
0.6096,0.3085,0.3248,0.1251,0.1217
0.6202,0.3153,0.3283,0.1285,0.1252
0.6308,0.3147,0.3277,0.1318,0.1287
0.6413,0.3147,0.3313,0.1351,0.1321
0.6518,0.3164,0.3327,0.1384,0.1356
0.6624,0.3156,0.3416,0.1418,0.1393
0.6731,0.3249,0.3412,0.1452,0.1429
0.6836,0.3198,0.3459,0.1486,0.1465
0.6943,0.3179,0.3373,0.1520,0.1501
0.7051,0.3191,0.3510,0.1555,0.1539
0.7158,0.3233,0.3556,0.1589,0.1577
0.7264,0.3214,0.3539,0.1623,0.1615
0.7370,0.3254,0.3547,0.1658,0.1653
0.7476,0.3196,0.3522,0.1692,0.1690
0.7580,0.3248,0.3645,0.1725,0.1728
0.7686,0.3269,0.3694,0.1760,0.1767
0.7792,0.3316,0.3706,0.1795,0.1806
0.7898,0.3273,0.3661,0.1830,0.1845
0.8004,0.3300,0.3725,0.1865,0.1884
0.8110,0.3316,0.3739,0.1900,0.1924
0.8216,0.3352,0.3808,0.1936,0.1965
0.8322,0.3330,0.3755,0.1971,0.2004
0.8428,0.3380,0.3770,0.2007,0.2044
0.8534,0.3361,0.3785,0.2042,0.2084
0.8642,0.3326,0.3838,0.2078,0.2126
0.8748,0.3441,0.3765,0.2115,0.2166
0.8852,0.3452,0.3883,0.2151,0.2206
0.8958,0.3447,0.3773,0.2187,0.2246
0.9064,0.3453,0.3876,0.2224,0.2287
0.9170,0.3429,0.3821,0.2260,0.2328
0.9276,0.3454,0.3878,0.2297,0.2369
0.9382,0.3516,0.3842,0.2334,0.2409
0.9487,0.3512,0.3873,0.2371,0.2450
