Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0105,0.0033,0.0000,0.0000,0.0000
0.0209,0.0198,0.0198,0.0002,0.0002
0.0314,0.0231,0.0297,0.0005,0.0005
0.0418,0.0365,0.0431,0.0009,0.0010
0.0522,0.0497,0.0563,0.0014,0.0016
0.0626,0.0630,0.0663,0.0020,0.0022
0.0730,0.0861,0.0894,0.0029,0.0032
0.0835,0.1027,0.1027,0.0040,0.0042
0.0939,0.1095,0.1161,0.0051,0.0055
0.1043,0.1196,0.1329,0.0064,0.0068
0.1147,0.1328,0.1460,0.0078,0.0084
0.1251,0.1425,0.1690,0.0092,0.0101
0.1355,0.1626,0.1859,0.0109,0.0120
0.1459,0.1823,0.2055,0.0128,0.0142
0.1563,0.1921,0.2253,0.0148,0.0165
0.1667,0.2093,0.2392,0.0170,0.0190
0.1771,0.2156,0.2555,0.0193,0.0217
0.1875,0.2453,0.2718,0.0218,0.0245
0.1979,0.2587,0.2786,0.0245,0.0274
0.2083,0.2757,0.2989,0.0274,0.0305
0.2187,0.2921,0.3319,0.0304,0.0340
0.2291,0.3023,0.3455,0.0335,0.0376
0.2395,0.3085,0.3682,0.0368,0.0414
0.2499,0.3354,0.3720,0.0402,0.0452
0.2603,0.3486,0.3917,0.0439,0.0493
0.2707,0.3639,0.4102,0.0477,0.0536
0.2813,0.3672,0.4322,0.0516,0.0582
0.2918,0.3809,0.4439,0.0555,0.0628
0.3024,0.3970,0.4458,0.0597,0.0675
0.3130,0.4124,0.4774,0.0641,0.0726
0.3236,0.4190,0.4970,0.0686,0.0779
0.3342,0.4267,0.5016,0.0731,0.0832
0.3448,0.4385,0.5197,0.0778,0.0887
0.3555,0.4555,0.5466,0.0826,0.0945
0.3661,0.4646,0.5589,0.0875,0.1005
0.3767,0.4715,0.5659,0.0925,0.1065
0.3871,0.4923,0.5915,0.0977,0.1127
0.3977,0.5042,0.5920,0.1030,0.1189
0.4082,0.5137,0.6164,0.1084,0.1254
0.4188,0.5406,0.6318,0.1141,0.1321
0.4292,0.5464,0.6292,0.1198,0.1386
0.4396,0.5526,0.6387,0.1256,0.1453
0.4502,0.5733,0.6450,0.1316,0.1521
0.4606,0.5826,0.6588,0.1377,0.1590
0.4711,0.5921,0.6913,0.1439,0.1662
0.4817,0.6088,0.6805,0.1503,0.1734
0.4921,0.6097,0.7025,0.1567,0.1807
0.5025,0.6293,0.6922,0.1633,0.1879
0.5131,0.6402,0.7150,0.1701,0.1955
0.5236,0.6424,0.7152,0.1767,0.2030
0.5342,0.6509,0.7124,0.1837,0.2106
0.5446,0.6665,0.7163,0.1906,0.2180
0.5551,0.6610,0.7106,0.1975,0.2254
0.5657,0.6685,0.7302,0.2046,0.2332
0.5761,0.6695,0.7192,0.2116,0.2407
0.5865,0.6785,0.7215,0.2187,0.2482
0.5972,0.6861,0.7187,0.2260,0.2559
0.6076,0.6793,0.7191,0.2330,0.2633
0.6180,0.6866,0.7262,0.2402,0.2709
0.6286,0.6832,0.7255,0.2475,0.2786
0.6390,0.6804,0.7269,0.2545,0.2862
0.6497,0.6890,0.7150,0.2619,0.2938
0.6601,0.6828,0.7259,0.2690,0.3013
0.6705,0.6882,0.7146,0.2762,0.3088
0.6811,0.6863,0.7188,0.2834,0.3164
0.6915,0.6930,0.7328,0.2906,0.3241
0.7022,0.6899,0.7223,0.2980,0.3318
0.7126,0.6957,0.7354,0.3052,0.3394
0.7230,0.7046,0.7244,0.3126,0.3470
0.7340,0.6922,0.7204,0.3202,0.3549
0.7445,0.7029,0.7260,0.3276,0.3625
0.7549,0.7075,0.7273,0.3350,0.3701
0.7654,0.7079,0.7344,0.3423,0.3778
0.7758,0.7112,0.7211,0.3498,0.3853
0.7863,0.7065,0.7329,0.3572,0.3929
0.7967,0.7119,0.7218,0.3646,0.4005
0.8071,0.7041,0.7305,0.3719,0.4081
0.8176,0.7180,0.7180,0.3794,0.4156
0.8280,0.7077,0.7341,0.3868,0.4233
0.8384,0.7065,0.7131,0.3942,0.4307
0.8488,0.7174,0.7107,0.4016,0.4381
0.8593,0.7071,0.7269,0.4090,0.4457
0.8697,0.7084,0.7184,0.4164,0.4532
0.8801,0.7118,0.7251,0.4238,0.4607
0.8906,0.7108,0.7207,0.4313,0.4683
0.9010,0.7088,0.7187,0.4386,0.4757
0.9114,0.7105,0.7237,0.4461,0.4833
0.9219,0.7183,0.7083,0.4536,0.4907
0.9324,0.6995,0.7289,0.4609,0.4984
0.9429,0.7223,0.7190,0.4685,0.5059
0.9536,0.7073,0.7137,0.4761,0.5136
0.9641,0.7166,0.7199,0.4836,0.5211
0.9746,0.7188,0.7188,0.4912,0.5287
0.9851,0.7120,0.7219,0.4986,0.5363
0.9956,0.7211,0.7112,0.5062,0.5437
1.0060,0.7069,0.7234,0.5135,0.5512
1.0164,0.7240,0.7107,0.5211,0.5587
1.0269,0.7146,0.7113,0.5286,0.5661
1.0373,0.7154,0.7121,0.5360,0.5735
1.0479,0.7287,0.7222,0.5437,0.5812
1.0584,0.7237,0.7072,0.5513,0.5885
1.0688,0.7222,0.7056,0.5588,0.5959
1.0792,0.7240,0.7140,0.5663,0.6033
1.0896,0.7271,0.7038,0.5739,0.6106
1.1000,0.7259,0.7159,0.5815,0.6181
1.1104,0.7229,0.7097,0.5890,0.6255
1.1208,0.7304,0.6939,0.5966,0.6327
