Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0105,0.0000,0.0000,0.0000,0.0000
0.0209,0.0033,0.0000,0.0000,0.0000
0.0314,0.0198,0.0033,0.0002,0.0000
0.0418,0.0231,0.0264,0.0005,0.0003
0.0522,0.0298,0.0430,0.0008,0.0008
0.0626,0.0331,0.0630,0.0011,0.0014
0.0731,0.0429,0.0857,0.0016,0.0023
0.0835,0.0564,0.0996,0.0022,0.0033
0.0939,0.0728,0.1258,0.0029,0.0047
0.1044,0.0860,0.1422,0.0038,0.0061
0.1148,0.0894,0.1555,0.0048,0.0078
0.1254,0.1010,0.1727,0.0058,0.0096
0.1358,0.1127,0.1955,0.0070,0.0116
0.1462,0.1326,0.2022,0.0084,0.0137
0.1568,0.1399,0.2245,0.0099,0.0161
0.1672,0.1528,0.2358,0.0115,0.0186
0.1776,0.1658,0.2454,0.0132,0.0211
0.1882,0.1828,0.2677,0.0151,0.0240
0.1986,0.2022,0.2784,0.0172,0.0269
0.2090,0.2153,0.2915,0.0195,0.0299
0.2195,0.2283,0.2978,0.0218,0.0330
0.2300,0.2384,0.3102,0.0244,0.0363
0.2405,0.2581,0.3111,0.0271,0.0395
0.2510,0.2743,0.3167,0.0300,0.0429
0.2615,0.2880,0.3343,0.0330,0.0464
0.2720,0.2969,0.3589,0.0361,0.0501
0.2824,0.3055,0.3553,0.0393,0.0538
0.2929,0.3136,0.3631,0.0426,0.0576
0.3033,0.3212,0.3709,0.0459,0.0615
0.3137,0.3345,0.3709,0.0494,0.0654
0.3241,0.3453,0.3918,0.0530,0.0694
0.3345,0.3486,0.3951,0.0566,0.0736
0.3450,0.3574,0.4038,0.0603,0.0778
0.3554,0.3751,0.4049,0.0642,0.0820
0.3658,0.3816,0.4082,0.0682,0.0862
0.3762,0.3778,0.4176,0.0721,0.0906
0.3866,0.3914,0.4212,0.0762,0.0949
0.3970,0.3948,0.4214,0.0803,0.0993
0.4074,0.4082,0.4281,0.0846,0.1038
0.4178,0.4170,0.4402,0.0889,0.1084
0.4282,0.4070,0.4401,0.0932,0.1130
0.4386,0.4180,0.4413,0.0975,0.1176
0.4491,0.4258,0.4457,0.1020,0.1222
0.4595,0.4303,0.4634,0.1064,0.1270
0.4700,0.4266,0.4597,0.1109,0.1318
0.4804,0.4305,0.4603,0.1154,0.1366
0.4908,0.4340,0.4705,0.1199,0.1415
0.5012,0.4411,0.4776,0.1245,0.1465
0.5116,0.4406,0.4737,0.1291,0.1514
0.5220,0.4422,0.4821,0.1337,0.1565
0.5324,0.4482,0.4881,0.1383,0.1615
0.5428,0.4510,0.4875,0.1430,0.1666
0.5532,0.4445,0.4943,0.1477,0.1717
0.5637,0.4486,0.4948,0.1523,0.1769
0.5741,0.4597,0.4994,0.1571,0.1821
0.5846,0.4626,0.5086,0.1620,0.1875
0.5953,0.4483,0.5035,0.1668,0.1928
0.6057,0.4575,0.5102,0.1716,0.1982
0.6164,0.4616,0.5104,0.1765,0.2036
0.6268,0.4652,0.5147,0.1813,0.2090
0.6374,0.4617,0.5267,0.1862,0.2146
0.6479,0.4639,0.5202,0.1911,0.2200
0.6583,0.4693,0.5189,0.1960,0.2254
0.6691,0.4642,0.5347,0.2010,0.2312
0.6795,0.4743,0.5307,0.2059,0.2367
0.6901,0.4784,0.5305,0.2110,0.2423
0.7007,0.4724,0.5343,0.2160,0.2480
0.7112,0.4769,0.5390,0.2210,0.2537
0.7218,0.4792,0.5378,0.2261,0.2594
0.7324,0.4819,0.5438,0.2312,0.2651
0.7430,0.4800,0.5519,0.2363,0.2710
0.7536,0.4890,0.5444,0.2415,0.2767
0.7640,0.4870,0.5500,0.2465,0.2825
0.7746,0.4853,0.5537,0.2517,0.2883
0.7850,0.4805,0.5468,0.2567,0.2940
0.7956,0.4859,0.5576,0.2618,0.2999
0.8060,0.4830,0.5591,0.2669,0.3058
0.8165,0.4839,0.5634,0.2719,0.3116
0.8269,0.4891,0.5552,0.2770,0.3174
0.8373,0.4898,0.5560,0.2821,0.3232
0.8477,0.4845,0.5608,0.2872,0.3291
0.8582,0.4799,0.5692,0.2922,0.3350
0.8686,0.4899,0.5726,0.2973,0.3410
0.8790,0.4866,0.5528,0.3023,0.3467
0.8894,0.4802,0.5663,0.3074,0.3526
0.8999,0.4861,0.5720,0.3124,0.3586
0.9105,0.4875,0.5655,0.3176,0.3646
0.9210,0.4833,0.5688,0.3227,0.3706
0.9316,0.4860,0.5767,0.3279,0.3767
0.9423,0.4951,0.5793,0.3331,0.3829
