Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0507,0.0014,0.0020,0.0001,0.0001
0.1011,0.0212,0.0253,0.0011,0.0014
0.1516,0.0581,0.0520,0.0041,0.0040
0.2021,0.0821,0.0691,0.0082,0.0075
0.2525,0.0999,0.0917,0.0133,0.0121
0.3030,0.1095,0.1143,0.0188,0.0179
0.3534,0.1198,0.1300,0.0248,0.0244
0.4038,0.1294,0.1396,0.0313,0.0315
0.4543,0.1430,0.1478,0.0386,0.0389
0.5047,0.1458,0.1602,0.0459,0.0470
0.5552,0.1524,0.1702,0.0536,0.0556
0.6056,0.1554,0.1752,0.0614,0.0644
0.6560,0.1602,0.1780,0.0695,0.0734
0.7064,0.1622,0.1869,0.0777,0.0828
0.7569,0.1670,0.1841,0.0861,0.0921
0.8073,0.1752,0.1916,0.0949,0.1018
0.8578,0.1827,0.1916,0.1042,0.1114
0.9082,0.1861,0.1991,0.1136,0.1215
0.9587,0.1915,0.2045,0.1232,0.1318
1.0091,0.1977,0.2086,0.1332,0.1423
1.0596,0.2050,0.2084,0.1435,0.1529
1.1101,0.2019,0.2122,0.1537,0.1636
1.1605,0.2108,0.2162,0.1644,0.1745
1.2110,0.2120,0.2209,0.1751,0.1856
1.2614,0.2114,0.2251,0.1857,0.1970
1.3119,0.2107,0.2292,0.1964,0.2085
1.3623,0.2013,0.2328,0.2065,0.2203
1.4127,0.2053,0.2368,0.2169,0.2322
1.4632,0.2080,0.2388,0.2273,0.2443
1.5136,0.2114,0.2326,0.2380,0.2560
1.5640,0.2143,0.2314,0.2488,0.2677
1.6144,0.2155,0.2306,0.2597,0.2793
1.6649,0.2183,0.2286,0.2707,0.2908
1.7153,0.2210,0.2333,0.2818,0.3026
1.7658,0.2231,0.2361,0.2931,0.3145
1.8162,0.2272,0.2381,0.3046,0.3265
1.8666,0.2279,0.2389,0.3160,0.3386
1.9171,0.2313,0.2409,0.3277,0.3507
1.9675,0.2340,0.2395,0.3395,0.3628
2.0179,0.2333,0.2402,0.3513,0.3749
2.0684,0.2292,0.2429,0.3629,0.3871
2.1188,0.2225,0.2485,0.3741,0.3997
2.1693,0.2169,0.2477,0.3850,0.4122
2.2197,0.2189,0.2490,0.3961,0.4247
2.2702,0.2155,0.2511,0.4069,0.4374
2.3207,0.2146,0.2549,0.4178,0.4503
