Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right,Target_Speed
0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0000
0.0018,0.0000,0.0000,0.0000,0.0000,1.6,1.7,0.0022
0.0036,0.0000,0.0000,0.0000,0.0000,3.1,3.4,0.0045
0.0051,0.0000,0.0000,0.0000,0.0000,4.5,4.9,0.0064
0.0071,0.0000,0.0000,0.0000,0.0000,6.2,6.8,0.0089
0.0091,0.0000,0.0000,0.0000,0.0000,8.0,8.6,0.0114
0.0107,0.0000,0.0000,0.0000,0.0000,9.4,10.2,0.0133
0.0131,0.0000,0.0000,0.0000,0.0000,11.5,12.5,0.0164
0.0148,0.0000,0.0000,0.0000,0.0000,13.0,14.1,0.0184
0.0166,0.0000,0.0000,0.0000,0.0000,14.7,16.0,0.0208
0.0182,0.0000,0.0000,0.0000,0.0000,16.2,17.5,0.0228
0.0198,0.0000,0.0000,0.0000,0.0000,17.6,19.1,0.0248
0.0215,0.0000,0.0000,0.0000,0.0000,19.1,20.7,0.0268
0.0233,0.0000,0.0000,0.0000,0.0000,20.8,22.5,0.0291
0.0248,0.0000,0.0000,0.0000,0.0000,22.2,24.1,0.0310
0.0264,0.0000,0.0000,0.0000,0.0000,23.7,25.7,0.0330
0.0280,0.0000,0.0000,0.0000,0.0000,25.1,27.2,0.0350
0.0295,0.0000,0.0000,0.0000,0.0000,26.6,28.8,0.0369
0.0312,0.0000,0.0000,0.0000,0.0000,28.1,30.5,0.0390
0.0329,0.0000,0.0000,0.0000,0.0000,29.7,32.2,0.0411
0.0344,0.0000,0.0000,0.0000,0.0000,31.2,33.8,0.0430
0.0360,0.0000,0.0000,0.0000,0.0000,32.7,35.4,0.0450
0.0377,0.0000,0.0000,0.0000,0.0000,34.3,37.1,0.0471
0.0392,0.0000,0.0000,0.0000,0.0000,35.7,38.7,0.0490
0.0407,0.0000,0.0000,0.0000,0.0000,37.2,40.3,0.0509
0.0423,0.0000,0.0000,0.0000,0.0000,38.7,42.0,0.0529
0.0444,0.0000,0.0000,0.0000,0.0000,40.8,44.2,0.0556
0.0460,0.0000,0.0000,0.0000,0.0000,42.4,45.9,0.0576
0.0476,0.0000,0.0000,0.0000,0.0000,43.8,47.5,0.0595
0.0491,0.0000,0.0000,0.0000,0.0000,45.4,49.1,0.0614
0.0507,0.0000,0.0000,0.0000,0.0000,46.9,50.8,0.0634
0.0522,0.0000,0.0000,0.0000,0.0000,48.4,52.4,0.0652
0.0537,0.0000,0.0000,0.0000,0.0000,49.9,54.0,0.0671
0.0553,0.0000,0.0000,0.0000,0.0000,51.5,55.7,0.0691
0.0570,0.0000,0.0000,0.0000,0.0000,53.2,57.5,0.0712
0.0587,0.0000,0.0000,0.0000,0.0000,54.9,59.4,0.0734
0.0603,0.0000,0.0000,0.0000,0.0000,56.5,61.1,0.0754
0.0619,0.0000,0.0000,0.0000,0.0000,58.1,62.8,0.0773
0.0635,0.0000,0.0000,0.0000,0.0000,59.7,64.6,0.0793
