Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right
0.0000,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0017,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0032,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0048,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0063,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0078,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0094,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0110,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0125,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0141,0.0221,0.0000,0.0000,0.0000,220.0,220.0
0.0157,0.0219,0.0000,0.0001,0.0000,220.0,220.0
0.0171,0.0235,0.0000,0.0001,0.0000,220.0,220.0
0.0186,0.0230,0.0230,0.0001,0.0000,220.0,220.0
0.0202,0.0213,0.0000,0.0002,0.0000,220.0,220.0
0.0218,0.0222,0.0000,0.0002,0.0000,220.0,220.0
0.0233,0.0455,0.0000,0.0003,0.0000,220.0,220.0
0.0249,0.0223,0.0000,0.0003,0.0000,220.0,220.0
0.0264,0.0448,0.0224,0.0004,0.0001,220.0,220.0
0.0280,0.0431,0.0000,0.0004,0.0001,220.0,220.0
0.0296,0.0445,0.0222,0.0005,0.0001,220.0,220.0
0.0311,0.0683,0.0228,0.0006,0.0001,220.0,220.0
0.0326,0.0460,0.0000,0.0007,0.0001,220.0,220.0
0.0342,0.0629,0.0210,0.0008,0.0002,220.0,220.0
0.0359,0.0416,0.0000,0.0009,0.0002,220.0,220.0
0.0374,0.0670,0.0223,0.0010,0.0002,220.0,220.0
0.0390,0.0654,0.0218,0.0011,0.0002,220.0,220.0
0.0405,0.0679,0.0226,0.0012,0.0003,220.0,220.0
0.0420,0.0687,0.0229,0.0013,0.0003,220.0,220.0
0.0435,0.0687,0.0000,0.0014,0.0003,220.0,220.0
0.0451,0.0665,0.0222,0.0015,0.0003,220.0,220.0
0.0467,0.0886,0.0222,0.0016,0.0004,220.0,220.0
0.0482,0.0911,0.0228,0.0018,0.0004,220.0,220.0
0.0496,0.0707,0.0236,0.0019,0.0004,220.0,220.0
0.0512,0.0881,0.0441,0.0020,0.0005,220.0,220.0
0.0527,0.0896,0.0224,0.0021,0.0006,220.0,220.0
0.0544,0.0829,0.0207,0.0023,0.0006,220.0,220.0
0.0559,0.0903,0.0451,0.0024,0.0007,220.0,220.0
0.0575,0.0880,0.0220,0.0026,0.0007,220.0,220.0
0.0591,0.1111,0.0444,0.0027,0.0008,220.0,220.0
0.0608,0.0820,0.0410,0.0029,0.0008,220.0,220.0
0.0624,0.1043,0.0417,0.0030,0.0009,220.0,220.0
0.0640,0.1064,0.0426,0.0032,0.0010,220.0,220.0
0.0656,0.1119,0.0447,0.0034,0.0010,220.0,220.0
0.0672,0.1079,0.0647,0.0036,0.0011,220.0,220.0
0.0689,0.1024,0.0614,0.0037,0.0012,220.0,220.0
0.0705,0.1232,0.0616,0.0039,0.0013,220.0,220.0
0.0721,0.1108,0.0665,0.0041,0.0014,220.0,220.0
0.0737,0.1258,0.0629,0.0043,0.0016,220.0,220.0
0.0754,0.1262,0.0842,0.0045,0.0017,220.0,220.0
0.0770,0.1047,0.0628,0.0047,0.0018,220.0,220.0
0.0788,0.1337,0.0764,0.0049,0.0019,220.0,220.0
0.0805,0.1229,0.0819,0.0051,0.0021,220.0,220.0
0.0821,0.1500,0.0857,0.0054,0.0022,220.0,220.0
0.0838,0.1267,0.0633,0.0056,0.0023,220.0,220.0
0.0852,0.1402,0.1168,0.0058,0.0025,220.0,220.0
0.0868,0.1596,0.0912,0.0060,0.0026,220.0,220.0
0.0883,0.1517,0.0867,0.0063,0.0028,220.0,220.0
0.0907,0.1459,0.1021,0.0066,0.0030,220.0,220.0
0.0923,0.1527,0.0872,0.0069,0.0031,220.0,220.0
0.0938,0.1343,0.1119,0.0071,0.0033,220.0,220.0
0.0954,0.1564,0.0894,0.0073,0.0035,220.0,220.0
0.0970,0.1532,0.1095,0.0076,0.0036,220.0,220.0
0.0984,0.1624,0.0928,0.0078,0.0038,220.0,220.0
0.1000,0.1539,0.1099,0.0080,0.0039,220.0,220.0
0.1016,0.1544,0.1103,0.0083,0.0041,220.0,220.0
0.1032,0.1729,0.1080,0.0086,0.0043,220.0,220.0
0.1048,0.1463,0.1045,0.0088,0.0045,220.0,220.0
0.1065,0.1636,0.1023,0.0091,0.0046,220.0,220.0
0.1081,0.1753,0.1096,0.0094,0.0048,220.0,220.0
0.1096,0.1803,0.1352,0.0096,0.0050,220.0,220.0
0.1111,0.1638,0.1170,0.0099,0.0052,220.0,220.0
0.1127,0.1993,0.1107,0.0102,0.0053,220.0,220.0
0.1143,0.1931,0.1287,0.0105,0.0056,220.0,220.0
0.1158,0.2016,0.1344,0.0108,0.0058,220.0,220.0
0.1176,0.1899,0.1329,0.0111,0.0060,220.0,220.0
0.1193,0.1872,0.1248,0.0115,0.0062,220.0,220.0
0.1209,0.1916,0.1278,0.0118,0.0064,220.0,220.0
0.1224,0.1860,0.1162,0.0120,0.0066,220.0,220.0
0.1239,0.2051,0.1367,0.0124,0.0068,220.0,220.0
0.1260,0.2016,0.1344,0.0128,0.0071,220.0,220.0
0.1278,0.1913,0.1530,0.0131,0.0074,220.0,220.0
0.1293,0.2005,0.1337,0.0134,0.0076,220.0,220.0
0.1309,0.1997,0.1553,0.0137,0.0078,220.0,220.0
0.1328,0.1991,0.1448,0.0141,0.0081,220.0,220.0
0.1344,0.2134,0.1494,0.0145,0.0083,220.0,220.0
0.1364,0.2212,0.1701,0.0149,0.0087,220.0,220.0
0.1382,0.2145,0.1560,0.0153,0.0089,220.0,220.0
0.1398,0.2159,0.1511,0.0156,0.0092,220.0,220.0
0.1418,0.2355,0.1682,0.0161,0.0095,220.0,220.0
0.1434,0.2161,0.1729,0.0165,0.0098,220.0,220.0
0.1450,0.2286,0.1600,0.0168,0.0100,220.0,220.0
0.1467,0.2213,0.1811,0.0172,0.0104,220.0,220.0
0.1488,0.2315,0.1654,0.0177,0.0107,220.0,220.0
