Time_s,Base_Target_m_s,Sync_Adj,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0
0.0015,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.4,0.4
0.0028,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.8,0.9
0.0041,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,1.1,1.2
0.0054,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,1.5,1.6
0.0068,0.0027,0.0000,0.0000,0.0000,0.0000,0.0000,1.9,2.1
0.0083,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,2.3,2.5
0.0097,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,2.7,3.0
0.0111,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,3.1,3.4
0.0125,0.0050,0.0000,0.0000,0.0000,0.0000,0.0000,3.5,3.8
0.0142,0.0057,0.0000,0.0000,0.0000,0.0000,0.0000,4.0,4.4
0.0158,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,4.5,4.9
0.0172,0.0069,0.0000,0.0000,0.0000,0.0000,0.0000,4.9,5.3
0.0186,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,5.3,5.8
0.0201,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,5.7,6.3
0.0215,0.0086,0.0000,0.0000,0.0000,0.0000,0.0000,6.1,6.7
0.0229,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,6.5,7.1
0.0242,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,6.9,7.6
0.0257,0.0103,0.0000,0.0000,0.0000,0.0000,0.0000,7.4,8.1
0.0271,0.0108,0.0000,0.0000,0.0000,0.0000,0.0000,7.8,8.5
0.0284,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000,8.2,8.9
0.0297,0.0119,0.0000,0.0000,0.0000,0.0000,0.0000,8.6,9.4
0.0312,0.0125,0.0000,0.0000,0.0000,0.0000,0.0000,9.0,9.9
0.0325,0.0130,0.0000,0.0000,0.0000,0.0000,0.0000,9.4,10.3
0.0338,0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,9.8,10.8
0.0352,0.0141,0.0000,0.0000,0.0000,0.0000,0.0000,10.2,11.2
0.0367,0.0147,0.0000,0.0000,0.0000,0.0000,0.0000,10.7,11.7
0.0380,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,11.1,12.2
0.0393,0.0157,0.0000,0.0000,0.0000,0.0000,0.0000,11.5,12.6
0.0407,0.0163,0.0000,0.0000,0.0000,0.0000,0.0000,11.9,13.1
0.0422,0.0169,0.0000,0.0000,0.0000,0.0000,0.0000,12.3,13.6
0.0435,0.0174,0.0000,0.0000,0.0000,0.0000,0.0000,12.8,14.1
0.0448,0.0179,0.0000,0.0000,0.0000,0.0000,0.0000,13.2,14.5
0.0462,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,13.6,15.0
0.0476,0.0190,0.0000,0.0000,0.0000,0.0000,0.0000,14.0,15.5
0.0489,0.0196,0.0000,0.0000,0.0000,0.0000,0.0000,14.5,16.0
0.0502,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,14.9,16.4
0.0516,0.0206,0.0000,0.0000,0.0000,0.0000,0.0000,15.3,16.9
0.0531,0.0212,0.0000,0.0000,0.0000,0.0000,0.0000,15.8,17.4
0.0544,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,16.2,17.9
0.0557,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,16.6,18.4
0.0571,0.0229,0.0000,0.0000,0.0000,0.0000,0.0000,17.1,18.9
0.0586,0.0234,0.0000,0.0000,0.0000,0.0000,0.0000,17.5,19.4
0.0599,0.0240,0.0000,0.0000,0.0000,0.0000,0.0000,18.0,19.9
0.0612,0.0245,0.0000,0.0000,0.0000,0.0000,0.0000,18.4,20.4
0.0626,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,18.8,20.9
0.0641,0.0257,0.0000,0.0000,0.0000,0.0000,0.0000,19.3,21.4
0.0657,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,19.8,22.0
0.0672,0.0269,0.0001,0.0239,0.0000,0.0000,0.0000,3.7,22.6
0.0686,0.0274,0.0001,0.0000,0.0000,0.0000,0.0000,20.7,23.1
0.0701,0.0280,0.0001,0.0000,0.0000,0.0000,0.0000,21.2,23.7
0.0715,0.0286,0.0001,0.0000,0.0000,0.0000,0.0000,21.6,24.2
0.0729,0.0292,0.0001,0.0000,0.0000,0.0000,0.0000,22.1,24.8
0.0743,0.0297,0.0001,0.0000,0.0000,0.0000,0.0000,22.6,25.3
0.0757,0.0303,0.0000,0.0000,0.0247,0.0000,0.0000,23.1,7.2
0.0770,0.0308,0.0000,0.0000,0.0000,0.0000,0.0000,23.5,26.2
0.0783,0.0313,0.0000,0.0000,0.0000,0.0000,0.0000,24.0,26.7
0.0798,0.0319,0.0000,0.0000,0.0000,0.0000,0.0000,24.4,27.2
0.0813,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,25.0,27.8
