Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right
0.0000,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0015,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0029,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0043,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0057,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0070,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0084,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0098,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0112,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0126,0.0000,0.0000,0.0000,0.0000,220.0,220.0
0.0141,0.0000,0.0239,0.0000,0.0000,220.0,220.0
0.0155,0.0000,0.0247,0.0000,0.0001,220.0,220.0
0.0168,0.0263,0.0000,0.0000,0.0001,220.0,220.0
0.0181,0.0000,0.0255,0.0000,0.0001,220.0,220.0
0.0195,0.0247,0.0247,0.0001,0.0001,220.0,220.0
0.0209,0.0000,0.0248,0.0001,0.0002,220.0,220.0
0.0222,0.0266,0.0266,0.0001,0.0002,220.0,220.0
0.0236,0.0000,0.0257,0.0001,0.0002,220.0,220.0
0.0250,0.0239,0.0239,0.0001,0.0003,220.0,220.0
0.0264,0.0248,0.0248,0.0002,0.0003,220.0,220.0
0.0277,0.0265,0.0530,0.0002,0.0004,220.0,220.0
0.0290,0.0263,0.0263,0.0002,0.0004,220.0,220.0
0.0305,0.0238,0.0475,0.0003,0.0005,220.0,220.0
0.0319,0.0235,0.0235,0.0003,0.0005,220.0,220.0
0.0333,0.0000,0.0487,0.0003,0.0006,220.0,220.0
0.0348,0.0242,0.0483,0.0003,0.0007,220.0,220.0
0.0362,0.0240,0.0481,0.0004,0.0007,220.0,220.0
0.0376,0.0243,0.0486,0.0004,0.0008,220.0,220.0
0.0390,0.0248,0.0743,0.0004,0.0009,220.0,220.0
0.0403,0.0000,0.0523,0.0004,0.0010,220.0,220.0
0.0417,0.0252,0.0504,0.0005,0.0010,220.0,220.0
0.0432,0.0237,0.0712,0.0005,0.0011,220.0,220.0
0.0446,0.0248,0.0496,0.0006,0.0012,220.0,220.0
0.0459,0.0000,0.0770,0.0006,0.0013,220.0,220.0
0.0473,0.0248,0.0745,0.0006,0.0014,220.0,220.0
0.0487,0.0245,0.0735,0.0006,0.0015,220.0,220.0
0.0500,0.0263,0.0789,0.0007,0.0016,220.0,220.0
0.0513,0.0263,0.0790,0.0007,0.0017,220.0,220.0
0.0527,0.0259,0.0777,0.0007,0.0018,220.0,220.0
0.0541,0.0237,0.0710,0.0008,0.0019,220.0,220.0
0.0555,0.0492,0.0984,0.0008,0.0021,220.0,220.0
0.0569,0.0256,0.0768,0.0009,0.0022,220.0,220.0
0.0583,0.0236,0.0945,0.0009,0.0023,220.0,220.0
0.0598,0.0472,0.0945,0.0010,0.0025,220.0,220.0
0.0612,0.0249,0.0748,0.0010,0.0026,220.0,220.0
0.0625,0.0522,0.1045,0.0011,0.0027,220.0,220.0
0.0638,0.0517,0.1033,0.0011,0.0028,220.0,220.0
0.0652,0.0245,0.0736,0.0012,0.0029,220.0,220.0
0.0666,0.0491,0.1227,0.0012,0.0031,220.0,220.0
0.0680,0.0525,0.1051,0.0013,0.0032,220.0,220.0
0.0693,0.0248,0.0994,0.0013,0.0034,220.0,220.0
0.0710,0.0645,0.1076,0.0014,0.0036,220.0,220.0
0.0724,0.0485,0.1213,0.0015,0.0037,220.0,220.0
0.0738,0.0497,0.0995,0.0016,0.0039,220.0,220.0
0.0753,0.0459,0.1377,0.0017,0.0041,220.0,220.0
0.0767,0.0699,0.1165,0.0018,0.0042,220.0,220.0
0.0782,0.0488,0.1220,0.0018,0.0044,220.0,220.0
0.0795,0.0786,0.1309,0.0019,0.0046,220.0,220.0
0.0808,0.0514,0.1286,0.0020,0.0048,220.0,220.0
0.0822,0.0748,0.1496,0.0021,0.0050,220.0,220.0
0.0836,0.0746,0.1243,0.0022,0.0051,220.0,220.0
0.0849,0.0783,0.1306,0.0023,0.0053,220.0,220.0
0.0863,0.0745,0.1491,0.0024,0.0055,220.0,220.0
0.0880,0.0826,0.1446,0.0026,0.0058,220.0,220.0
0.0894,0.0712,0.1424,0.0027,0.0060,220.0,220.0
0.0909,0.0713,0.1663,0.0028,0.0062,220.0,220.0
0.0923,0.0737,0.1474,0.0029,0.0064,220.0,220.0
0.0937,0.0758,0.1263,0.0030,0.0066,220.0,220.0
0.0950,0.0771,0.1541,0.0031,0.0068,220.0,220.0
0.0963,0.0785,0.1569,0.0032,0.0070,220.0,220.0
0.0977,0.0772,0.1543,0.0033,0.0072,220.0,220.0
0.0990,0.0749,0.1747,0.0034,0.0075,220.0,220.0
0.1004,0.0983,0.1475,0.0035,0.0077,220.0,220.0
0.1020,0.0889,0.1778,0.0037,0.0079,220.0,220.0
0.1035,0.0684,0.1824,0.0038,0.0082,220.0,220.0
0.1049,0.0727,0.1454,0.0039,0.0084,220.0,220.0
0.1063,0.1041,0.1821,0.0040,0.0087,220.0,220.0
0.1076,0.1047,0.1832,0.0041,0.0089,220.0,220.0
0.1092,0.0865,0.1947,0.0043,0.0092,220.0,220.0
0.1108,0.0851,0.1914,0.0044,0.0095,220.0,220.0
0.1122,0.0976,0.1953,0.0046,0.0098,220.0,220.0
0.1136,0.1031,0.1804,0.0047,0.0100,220.0,220.0
0.1149,0.1035,0.1811,0.0048,0.0103,220.0,220.0
0.1163,0.0985,0.1723,0.0050,0.0105,220.0,220.0
0.1177,0.0992,0.1735,0.0051,0.0108,220.0,220.0
0.1190,0.1051,0.1840,0.0052,0.0110,220.0,220.0
0.1203,0.1029,0.2057,0.0054,0.0113,220.0,220.0
0.1217,0.1256,0.2009,0.0056,0.0116,220.0,220.0
0.1231,0.0978,0.2201,0.0057,0.0119,220.0,220.0
0.1245,0.1223,0.1957,0.0059,0.0121,220.0,220.0
0.1259,0.1224,0.1958,0.0060,0.0124,220.0,220.0
0.1273,0.1238,0.2228,0.0062,0.0127,220.0,220.0
0.1287,0.1247,0.2244,0.0064,0.0130,220.0,220.0
0.1300,0.1318,0.2110,0.0066,0.0133,220.0,220.0
0.1314,0.1290,0.2065,0.0067,0.0136,220.0,220.0
0.1328,0.1239,0.2478,0.0069,0.0139,220.0,220.0
0.1342,0.1458,0.2187,0.0071,0.0143,220.0,220.0
0.1355,0.1576,0.2363,0.0073,0.0146,220.0,220.0
0.1368,0.1287,0.2317,0.0075,0.0149,220.0,220.0
0.1384,0.1360,0.2266,0.0077,0.0152,220.0,220.0
0.1398,0.1472,0.2208,0.0079,0.0155,220.0,220.0
0.1411,0.1286,0.2315,0.0081,0.0158,220.0,220.0
0.1425,0.1453,0.2422,0.0083,0.0162,220.0,220.0
0.1439,0.1481,0.2468,0.0085,0.0165,220.0,220.0
0.1452,0.1585,0.2113,0.0087,0.0168,220.0,220.0
0.1465,0.1319,0.2639,0.0089,0.0172,220.0,220.0
0.1479,0.1811,0.2328,0.0091,0.0175,220.0,220.0
0.1493,0.1478,0.2463,0.0093,0.0178,220.0,220.0
0.1506,0.1527,0.2290,0.0095,0.0181,220.0,220.0
0.1524,0.1550,0.2712,0.0098,0.0186,220.0,220.0
0.1539,0.1620,0.2546,0.0100,0.0190,220.0,220.0
0.1553,0.1457,0.2429,0.0103,0.0193,220.0,220.0
0.1567,0.1814,0.2592,0.0105,0.0197,220.0,220.0
0.1580,0.1557,0.2596,0.0107,0.0200,220.0,220.0
0.1593,0.1814,0.2592,0.0109,0.0204,220.0,220.0
0.1607,0.1728,0.2715,0.0112,0.0207,220.0,220.0
0.1621,0.2006,0.2507,0.0115,0.0211,220.0,220.0
0.1634,0.1835,0.2622,0.0117,0.0214,220.0,220.0
0.1648,0.1980,0.2475,0.0120,0.0218,220.0,220.0
0.1663,0.1911,0.2628,0.0123,0.0222,220.0,220.0
0.1677,0.1935,0.2661,0.0125,0.0225,220.0,220.0
0.1691,0.1972,0.2711,0.0128,0.0229,220.0,220.0
0.1705,0.1749,0.2748,0.0130,0.0233,220.0,220.0
0.1719,0.1975,0.2716,0.0133,0.0237,220.0,220.0
0.1733,0.1949,0.2680,0.0136,0.0241,220.0,220.0
0.1747,0.1950,0.2681,0.0139,0.0244,220.0,220.0
0.1761,0.1964,0.2700,0.0142,0.0248,220.0,220.0
0.1781,0.1917,0.2963,0.0145,0.0254,220.0,220.0
0.1795,0.2173,0.2656,0.0148,0.0258,220.0,220.0
0.1808,0.2071,0.3106,0.0151,0.0262,220.0,220.0
0.1822,0.2055,0.2569,0.0154,0.0265,220.0,220.0
0.1836,0.2219,0.2959,0.0157,0.0270,220.0,220.0
0.1850,0.2236,0.2982,0.0160,0.0274,220.0,220.0
0.1864,0.2487,0.2735,0.0164,0.0277,220.0,220.0
0.1879,0.2268,0.2948,0.0167,0.0282,220.0,220.0
0.1893,0.2168,0.2890,0.0170,0.0286,220.0,220.0
0.1907,0.2256,0.3008,0.0173,0.0290,220.0,220.0
0.1920,0.2368,0.2894,0.0176,0.0294,220.0,220.0
0.1933,0.2329,0.2847,0.0179,0.0298,220.0,220.0
0.1947,0.2480,0.3224,0.0183,0.0302,220.0,220.0
0.1961,0.2254,0.3005,0.0186,0.0306,220.0,220.0
0.1974,0.2608,0.3129,0.0189,0.0311,220.0,220.0
0.1988,0.2596,0.3375,0.0193,0.0315,220.0,220.0
0.2003,0.2469,0.3143,0.0197,0.0320,220.0,220.0
0.2018,0.2621,0.3336,0.0201,0.0325,220.0,220.0
0.2032,0.2623,0.3100,0.0204,0.0329,220.0,220.0
0.2046,0.2749,0.3249,0.0208,0.0334,220.0,220.0
0.2060,0.2674,0.3160,0.0212,0.0338,220.0,220.0
0.2073,0.2604,0.3125,0.0215,0.0342,220.0,220.0
0.2087,0.2815,0.3583,0.0219,0.0347,220.0,220.0
0.2101,0.2708,0.3201,0.0223,0.0352,220.0,220.0
0.2115,0.2750,0.3500,0.0227,0.0357,220.0,220.0
0.2128,0.2914,0.3444,0.0231,0.0361,220.0,220.0
0.2141,0.2839,0.3613,0.0234,0.0366,220.0,220.0
0.2158,0.2803,0.3204,0.0239,0.0371,220.0,220.0
0.2173,0.2869,0.3348,0.0243,0.0376,220.0,220.0
0.2186,0.2854,0.3633,0.0247,0.0381,220.0,220.0
0.2199,0.3069,0.3325,0.0251,0.0386,220.0,220.0
0.2213,0.2954,0.3446,0.0255,0.0390,220.0,220.0
0.2227,0.2759,0.3512,0.0259,0.0395,220.0,220.0
0.2240,0.3185,0.3450,0.0263,0.0400,220.0,220.0
0.2254,0.2820,0.3590,0.0267,0.0405,220.0,220.0
0.2267,0.3003,0.3754,0.0271,0.0410,220.0,220.0
0.2281,0.3007,0.3257,0.0275,0.0414,220.0,220.0
0.2294,0.2930,0.3729,0.0279,0.0419,220.0,220.0
0.2308,0.3076,0.3588,0.0283,0.0424,220.0,220.0
0.2322,0.3192,0.3683,0.0288,0.0429,220.0,220.0
0.2336,0.2996,0.3745,0.0292,0.0434,220.0,220.0
0.2349,0.3157,0.3684,0.0296,0.0439,220.0,220.0
0.2362,0.3093,0.3867,0.0300,0.0444,220.0,216.2
0.2376,0.2987,0.3485,0.0304,0.0449,220.0,220.0
0.2390,0.3253,0.3753,0.0309,0.0454,220.0,220.0
0.2403,0.3194,0.3194,0.0313,0.0458,220.0,220.0
0.2416,0.3073,0.4097,0.0317,0.0464,220.0,202.5
0.2430,0.3253,0.3754,0.0322,0.0469,220.0,220.0
0.2444,0.3248,0.3498,0.0326,0.0474,220.0,220.0
