Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right,Target_Speed
0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0000
0.0015,0.0000,0.0000,0.0000,0.0000,2.4,2.3,0.0037
0.0028,0.0000,0.0000,0.0000,0.0000,4.7,4.4,0.0071
0.0042,0.0000,0.0000,0.0000,0.0000,6.9,6.5,0.0104
0.0056,0.0000,0.0000,0.0000,0.0000,9.3,8.7,0.0140
0.0070,0.0000,0.0000,0.0000,0.0000,11.6,10.9,0.0174
0.0084,0.0000,0.0000,0.0000,0.0000,14.0,13.1,0.0209
0.0098,0.0000,0.0000,0.0000,0.0000,16.4,15.4,0.0245
0.0111,0.0000,0.0000,0.0000,0.0000,18.6,17.6,0.0278
0.0125,0.0000,0.0000,0.0000,0.0000,20.9,19.8,0.0312
0.0140,0.0000,0.0000,0.0000,0.0000,23.5,22.2,0.0349
0.0154,0.0000,0.0000,0.0000,0.0000,25.9,24.5,0.0385
0.0167,0.0000,0.0000,0.0000,0.0000,28.2,26.7,0.0417
0.0180,0.0000,0.0000,0.0000,0.0000,30.5,28.9,0.0451
0.0194,0.0000,0.0000,0.0000,0.0000,32.9,31.2,0.0485
0.0208,0.0000,0.0000,0.0000,0.0000,35.3,33.6,0.0520
0.0221,0.0000,0.0000,0.0000,0.0000,37.7,35.8,0.0554
0.0235,0.0000,0.0000,0.0000,0.0000,40.0,38.1,0.0587
0.0249,0.0000,0.0000,0.0000,0.0000,42.5,40.5,0.0622
0.0263,0.0000,0.0000,0.0000,0.0000,45.0,42.9,0.0658
0.0276,0.0000,0.0000,0.0000,0.0000,47.3,45.2,0.0690
0.0290,0.0000,0.0000,0.0000,0.0000,49.7,47.5,0.0724
0.0304,0.0000,0.0000,0.0000,0.0000,52.3,50.0,0.0760
0.0318,0.0000,0.0000,0.0000,0.0000,54.8,52.4,0.0794
0.0332,0.0000,0.0000,0.0000,0.0000,57.3,54.9,0.0830
0.0346,0.0000,0.0000,0.0000,0.0000,59.9,57.4,0.0865
0.0360,0.0000,0.0000,0.0000,0.0000,62.5,60.0,0.0900
0.0373,0.0000,0.0000,0.0000,0.0000,64.9,62.3,0.0934
0.0387,0.0000,0.0000,0.0000,0.0000,67.4,64.8,0.0968
0.0401,0.0000,0.0000,0.0000,0.0000,69.9,67.3,0.1002
0.0415,0.0000,0.0000,0.0000,0.0000,72.5,69.9,0.1037
0.0429,0.0247,0.0000,0.0000,0.0000,58.8,72.4,0.1072
0.0443,0.0000,0.0000,0.0000,0.0000,77.6,75.0,0.1107
0.0457,0.0000,0.0000,0.0000,0.0000,80.3,77.7,0.1143
0.0471,0.0000,0.0000,0.0000,0.0000,83.0,80.3,0.1179
0.0485,0.0000,0.0000,0.0000,0.0000,85.4,82.8,0.1212
0.0498,0.0000,0.0000,0.0000,0.0000,87.9,85.2,0.1244
0.0512,0.0000,0.0000,0.0000,0.0000,90.6,88.0,0.1280
0.0528,0.0000,0.0220,0.0000,0.0000,93.6,77.3,0.1320
0.0543,0.0000,0.0000,0.0000,0.0000,96.5,93.7,0.1357
0.0557,0.0000,0.0000,0.0000,0.0000,99.1,96.4,0.1392
0.0571,0.0000,0.0000,0.0000,0.0000,101.9,99.2,0.1428
0.0586,0.0000,0.0000,0.0000,0.0000,104.8,102.1,0.1466
0.0601,0.0233,0.0000,0.0001,0.0000,92.3,105.0,0.1503
0.0615,0.0000,0.0000,0.0001,0.0000,110.4,107.8,0.1539
0.0629,0.0257,0.0000,0.0001,0.0000,96.0,110.5,0.1572
0.0643,0.0000,0.0000,0.0001,0.0000,115.7,113.2,0.1607
0.0657,0.0000,0.0000,0.0001,0.0000,118.4,116.0,0.1642
