Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m,PWM_Left,PWM_Right,Target_Speed
0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.0000
0.0018,0.0000,0.0000,0.0000,0.0000,6.4,5.6,0.0090
0.0034,0.0000,0.0000,0.0000,0.0000,12.1,10.7,0.0172
0.0050,0.0000,0.0000,0.0000,0.0000,17.7,15.6,0.0251
0.0066,0.0000,0.0000,0.0000,0.0000,23.3,20.6,0.0329
0.0082,0.0000,0.0000,0.0000,0.0000,29.1,25.7,0.0409
0.0099,0.0000,0.0000,0.0000,0.0000,35.2,31.2,0.0495
0.0123,0.0000,0.0000,0.0000,0.0000,43.9,38.9,0.0614
0.0140,0.0000,0.0000,0.0000,0.0000,50.1,44.5,0.0700
0.0157,0.0000,0.0000,0.0000,0.0000,56.2,50.0,0.0784
0.0173,0.0000,0.0000,0.0000,0.0000,62.4,55.5,0.0867
0.0193,0.0000,0.0000,0.0000,0.0000,69.4,61.9,0.0963
0.0210,0.0000,0.0000,0.0000,0.0000,75.9,67.8,0.1050
0.0234,0.0000,0.0000,0.0000,0.0000,84.9,76.0,0.1171
0.0251,0.0000,0.0000,0.0000,0.0000,91.1,81.7,0.1254
0.0267,0.0000,0.0000,0.0000,0.0000,97.0,87.1,0.1333
0.0283,0.0000,0.0000,0.0000,0.0000,103.3,92.8,0.1415
0.0307,0.0000,0.0000,0.0000,0.0000,112.3,101.1,0.1534
0.0323,0.0000,0.0000,0.0000,0.0000,118.6,106.9,0.1617
0.0339,0.0000,0.0000,0.0000,0.0000,124.6,112.5,0.1695
0.0358,0.0000,0.0000,0.0000,0.0000,131.7,119.1,0.1788
0.0375,0.0202,0.0000,0.0000,0.0000,124.1,125.2,0.1873
0.0391,0.0000,0.0000,0.0000,0.0000,144.7,131.2,0.1956
0.0408,0.0000,0.0000,0.0000,0.0000,151.2,137.3,0.2040
0.0424,0.0000,0.0000,0.0000,0.0000,157.6,143.2,0.2121
0.0441,0.0000,0.0000,0.0000,0.0000,164.3,149.5,0.2207
0.0458,0.0000,0.0000,0.0000,0.0000,170.7,155.6,0.2288
0.0474,0.0000,0.0000,0.0000,0.0000,177.2,161.7,0.2370
0.0490,0.0214,0.0000,0.0001,0.0000,168.6,167.8,0.2451
0.0507,0.0000,0.0000,0.0001,0.0000,190.4,174.2,0.2537
0.0523,0.0215,0.0000,0.0001,0.0000,181.7,180.3,0.2617
0.0540,0.0000,0.0000,0.0001,0.0000,203.5,186.7,0.2700
0.0558,0.0194,0.0000,0.0001,0.0000,197.0,193.5,0.2789
0.0574,0.0209,0.0000,0.0002,0.0000,202.5,199.9,0.2872
0.0591,0.0213,0.0000,0.0002,0.0000,208.8,206.2,0.2953
0.0607,0.0210,0.0000,0.0002,0.0000,215.7,212.6,0.3035
0.0623,0.0213,0.0213,0.0003,0.0000,222.1,205.9,0.3116
0.0643,0.0349,0.0174,0.0003,0.0001,220.6,216.0,0.3215
0.0660,0.0411,0.0206,0.0004,0.0001,223.0,220.6,0.3299
0.0676,0.0415,0.0000,0.0005,0.0001,229.5,239.9,0.3382
