Time_s,Left_Speed_m_s,Right_Speed_m_s,Left_Dist_m,Right_Dist_m
0.0000,0.0000,0.0000,0.0000,0.0000
0.0505,0.0198,0.0383,0.0010,0.0019
0.1009,0.0814,0.1143,0.0051,0.0077
0.1514,0.1648,0.1785,0.0134,0.0167
0.2022,0.2671,0.2188,0.0270,0.0278
0.2526,0.3635,0.2813,0.0453,0.0420
0.3034,0.4269,0.3671,0.0670,0.0606
0.3538,0.4639,0.4707,0.0904,0.0844
0.4043,0.5057,0.5637,0.1159,0.1129
0.4551,0.5752,0.6221,0.1451,0.1444
0.5055,0.6406,0.6618,0.1774,0.1778
0.5563,0.6820,0.6929,0.2121,0.2130
0.6067,0.6941,0.7106,0.2471,0.2488
0.6571,0.6877,0.7144,0.2817,0.2848
0.7079,0.6916,0.7181,0.3168,0.3213
0.7583,0.7037,0.7229,0.3523,0.3577
0.8088,0.7166,0.7173,0.3885,0.3939
0.8595,0.7153,0.7174,0.4248,0.4303
0.9099,0.7071,0.7132,0.4604,0.4663
0.9604,0.7054,0.7191,0.4960,0.5026
1.0113,0.7102,0.7218,0.5321,0.5393
1.0617,0.7122,0.7136,0.5681,0.5753
1.1125,0.7053,0.7148,0.6039,0.6116
1.1632,0.6985,0.7216,0.6393,0.6482
1.2139,0.6905,0.7265,0.6743,0.6850
1.2647,0.6830,0.7177,0.7090,0.7215
1.3154,0.6903,0.7148,0.7440,0.7577
1.3662,0.6862,0.7297,0.7789,0.7948
1.4169,0.6711,0.7425,0.8129,0.8325
1.4674,0.6610,0.7404,0.8463,0.8698
1.5178,0.6644,0.7335,0.8798,0.9068
1.5683,0.6815,0.7322,0.9142,0.9437
1.6187,0.6938,0.7211,0.9492,0.9801
1.6692,0.6986,0.7171,0.9844,1.0163
1.7196,0.6932,0.7076,1.0194,1.0520
1.7700,0.6910,0.7115,1.0542,1.0879
1.8205,0.6973,0.7206,1.0894,1.1242
1.8709,0.7048,0.7240,1.1249,1.1607
1.9214,0.7143,0.7150,1.1610,1.1968
1.9718,0.7105,0.7173,1.1968,1.2330
2.0222,0.7083,0.7200,1.2325,1.2693
2.0727,0.7076,0.7199,1.2682,1.3056
2.1231,0.7129,0.7143,1.3042,1.3416
2.1735,0.7174,0.7147,1.3403,1.3776
2.2240,0.7083,0.7131,1.3761,1.4136
2.2744,0.7056,0.7172,1.4116,1.4498
2.3248,0.7124,0.7186,1.4476,1.4860
2.3753,0.7185,0.7137,1.4838,1.5220
2.4257,0.7171,0.7157,1.5200,1.5581
2.4761,0.7079,0.7168,1.5557,1.5943
2.5265,0.7001,0.7152,1.5910,1.6303
2.5770,0.6912,0.7172,1.6258,1.6665
2.6274,0.6962,0.7154,1.6609,1.7026
2.6778,0.7001,0.7151,1.6963,1.7386
2.7283,0.6986,0.7198,1.7315,1.7749
2.7787,0.6954,0.7235,1.7666,1.8114
2.8291,0.6832,0.7134,1.8010,1.8474
2.8795,0.6878,0.7151,1.8357,1.8835
2.9300,0.6994,0.7226,1.8710,1.9199
2.9804,0.7041,0.7246,1.9065,1.9565
3.0312,0.6986,0.7169,1.9419,1.9928
3.0816,0.6873,0.7113,1.9766,2.0287
3.1320,0.6911,0.7178,2.0114,2.0649
3.1829,0.7010,0.7227,2.0471,2.1017
3.2337,0.7071,0.7180,2.0830,2.1381
3.2841,0.7055,0.7130,2.1186,2.1741
3.3349,0.7019,0.7182,2.1542,2.2106
3.3853,0.7051,0.7298,2.1898,2.2473
3.4360,0.7081,0.7203,2.2257,2.2839
3.4868,0.7155,0.7080,2.2620,2.3198
3.5375,0.7077,0.7111,2.2979,2.3559
3.5883,0.7009,0.7213,2.3335,2.3925
